type,latency(ms),packetLoss(%),bandwidth(Mbps),connection_type,qos
cellular,307,9.71,5.22,p2p,Poor
cellular,108,1.11,10.46,p2p,Poor
cellular,108,1.43,33.57,p2p,Fair
wifi,136,0.23,40.72,server,Good
cellular,113,2.24,45.51,server,Good
wifi,124,0.73,58.81,p2p,Fair
wifi,167,2.91,23.37,p2p,Fair
wifi,3331,4.57,9.7,p2p,Poor
cellular,187,1.8,48.77,p2p,Fair
wifi,70,0.53,29.0,p2p,Fair
cellular,494,7.26,9.67,server,Fair
wifi,422,2.52,15.21,server,Fair
cellular,145,1.32,41.81,server,Good
wifi,1623,11.81,18.87,p2p,Poor
cellular,229,8.85,6.77,server,Fair
wifi,415,1.02,10.54,server,Fair
wifi,98,0.74,99.42,server,Good
cellular,831,6.93,2.88,p2p,Poor
wifi,357,1.73,7.12,server,Fair
cellular,105,0.73,21.61,server,Good
cellular,137,2.11,12.37,p2p,Poor
wifi,477,4.17,11.45,p2p,Poor
wifi,109,0.89,64.33,server,Good
cellular,583,7.97,3.8,server,Poor
wifi,72,0.87,29.95,server,Good
cellular,148,1.83,43.08,p2p,Fair
cellular,178,1.08,47.96,p2p,Fair
wifi,22,0.08,283.58,server,Good
cellular,191,1.23,12.15,server,Good
wifi,426,1.22,15.0,p2p,Poor
cellular,655,8.55,3.79,p2p,Poor
wifi,29,0.03,213.0,p2p,Excellent
cellular,92,1.09,43.73,server,Good
wifi,106,0.9,56.72,server,Good
wifi,119,0.46,99.84,p2p,Good
wifi,321,4.45,8.09,server,Fair
cellular,123,2.54,24.93,p2p,Fair
wifi,38,0.01,207.79,p2p,Excellent
cellular,74,0.14,152.55,server,Good
cellular,94,0.56,28.48,p2p,Fair
wifi,44,0.02,287.03,server,Good
cellular,129,2.77,24.09,p2p,Fair
wifi,112,0.76,73.35,p2p,Good
wifi,61,0.89,49.48,server,Good
cellular,199,2.94,29.21,p2p,Fair
cellular,377,8.22,5.9,p2p,Poor
wifi,80,0.4,51.27,server,Good
wifi,129,0.93,63.82,server,Good
wifi,95,0.71,94.71,server,Good
wifi,434,3.51,23.64,p2p,Poor
wifi,439,4.0,23.09,server,Fair
cellular,83,1.85,45.27,server,Good
cellular,823,7.5,6.77,server,Fair
cellular,174,1.63,10.45,server,Good
cellular,187,0.89,21.5,p2p,Fair
wifi,72,0.25,87.44,p2p,Good
cellular,121,1.99,12.6,p2p,Poor
cellular,51,0.23,172.67,server,Good
cellular,98,1.39,48.64,p2p,Fair
wifi,141,0.58,96.85,server,Good
wifi,1297,11.97,26.18,server,Poor
cellular,190,2.65,12.4,p2p,Poor
wifi,44,0.04,296.48,p2p,Excellent
cellular,75,0.16,196.64,server,Good
wifi,31,0.06,181.18,server,Good
wifi,115,0.53,30.3,p2p,Fair
cellular,41,0.15,96.34,p2p,Excellent
cellular,272,6.25,5.75,server,Fair
wifi,39,0.02,237.34,server,Good
wifi,326,1.25,19.93,server,Good
wifi,101,0.9,74.96,server,Good
cellular,106,0.98,14.21,server,Good
cellular,155,2.12,32.63,server,Good
wifi,56,0.45,43.18,p2p,Good
cellular,47,0.44,103.67,p2p,Good
wifi,62,0.26,67.23,server,Good
cellular,68,0.4,183.45,server,Good
wifi,3976,13.33,17.23,p2p,Poor
cellular,135,2.04,44.27,p2p,Fair
cellular,308,4.02,3.02,server,Poor
wifi,1444,2.31,39.4,p2p,Poor
wifi,479,1.17,9.42,p2p,Poor
cellular,93,0.58,21.37,p2p,Fair
wifi,256,2.78,10.01,p2p,Poor
cellular,71,0.25,155.8,server,Good
wifi,2330,12.28,23.39,p2p,Poor
cellular,668,4.92,7.6,server,Fair
wifi,106,0.16,36.23,p2p,Fair
wifi,41,0.02,225.44,server,Good
wifi,227,2.07,10.36,server,Good
cellular,132,1.55,30.64,p2p,Fair
cellular,59,0.02,139.81,p2p,Excellent
wifi,100,0.99,86.39,server,Good
cellular,132,2.02,49.84,p2p,Fair
cellular,693,4.14,4.35,server,Poor
wifi,137,0.12,59.49,server,Good
cellular,915,5.2,6.85,p2p,Poor
cellular,68,0.17,76.97,p2p,Good
cellular,71,0.42,169.0,p2p,Good
wifi,2443,9.18,28.61,p2p,Poor
wifi,15,0.06,139.99,p2p,Excellent
wifi,357,3.88,18.31,p2p,Poor
cellular,58,0.35,64.49,server,Good
wifi,37,0.09,294.81,server,Good
wifi,35,0.08,269.11,server,Good
wifi,160,2.46,2.93,server,Poor
cellular,178,1.36,23.78,p2p,Fair
wifi,331,4.54,9.28,p2p,Poor
cellular,105,1.28,29.64,p2p,Fair
wifi,182,3.14,14.09,p2p,Poor
wifi,330,3.7,22.78,p2p,Poor
wifi,85,0.95,95.6,server,Good
cellular,143,2.3,46.37,server,Good
wifi,60,0.36,70.83,p2p,Good
wifi,109,0.91,42.7,p2p,Good
wifi,1236,11.21,21.73,server,Poor
wifi,994,2.29,44.79,p2p,Poor
cellular,163,2.71,29.46,p2p,Fair
wifi,1655,11.32,34.82,p2p,Poor
cellular,177,0.96,11.19,server,Good
wifi,47,0.09,250.06,p2p,Excellent
wifi,252,4.28,22.94,p2p,Poor
cellular,123,2.22,44.59,server,Good
cellular,56,0.46,184.38,server,Good
wifi,367,3.27,16.11,p2p,Poor
wifi,361,2.13,15.96,server,Good
wifi,83,0.46,27.69,server,Good
wifi,42,0.05,251.26,server,Good
wifi,84,0.98,65.16,p2p,Good
cellular,983,9.34,6.36,p2p,Poor
wifi,18,0.09,266.2,p2p,Excellent
cellular,377,8.27,5.25,server,Fair
cellular,95,2.93,35.6,server,Good
wifi,25,0.08,283.55,p2p,Excellent
cellular,715,9.78,5.86,server,Fair
cellular,498,8.86,9.75,p2p,Poor
wifi,190,4.15,14.33,p2p,Poor
wifi,254,3.44,10.49,server,Good
cellular,70,0.19,159.68,p2p,Good
wifi,136,0.96,52.9,server,Good
wifi,2918,3.32,9.77,p2p,Poor
wifi,118,0.8,88.66,server,Good
cellular,169,2.97,46.47,p2p,Fair
cellular,483,5.79,3.45,server,Poor
wifi,41,0.07,291.49,server,Good
wifi,34,0.07,177.06,p2p,Excellent
cellular,99,2.4,21.62,server,Good
cellular,133,1.89,28.75,p2p,Fair
cellular,246,5.62,8.24,server,Fair
wifi,1684,3.68,49.74,server,Poor
wifi,32,0.09,175.12,p2p,Excellent
wifi,3422,3.23,44.66,p2p,Poor
wifi,1569,14.45,23.39,server,Poor
cellular,88,2.48,33.38,p2p,Fair
wifi,97,0.35,45.15,p2p,Good
wifi,47,0.07,147.65,p2p,Excellent
wifi,1517,8.03,24.79,server,Poor
cellular,88,0.63,32.25,p2p,Fair
wifi,151,1.38,18.84,server,Good
wifi,48,0.03,174.54,p2p,Excellent
wifi,2096,14.87,41.8,p2p,Poor
wifi,80,0.81,76.13,p2p,Good
cellular,138,0.53,46.17,server,Good
wifi,30,0.07,277.69,server,Good
cellular,192,1.92,22.01,p2p,Fair
wifi,401,4.63,15.27,p2p,Poor
wifi,2692,14.14,45.48,server,Poor
wifi,22,0.09,275.9,server,Good
cellular,47,0.19,95.13,p2p,Excellent
wifi,97,0.85,78.64,p2p,Good
wifi,66,0.89,64.93,server,Good
wifi,96,0.5,67.88,server,Good
cellular,458,7.87,3.92,p2p,Poor
wifi,80,0.22,53.34,p2p,Good
cellular,59,0.37,114.87,p2p,Good
cellular,172,1.38,37.34,p2p,Fair
cellular,147,1.97,24.85,server,Good
wifi,107,0.92,92.56,p2p,Good
wifi,198,1.05,23.46,p2p,Fair
wifi,117,0.28,54.83,p2p,Good
cellular,154,1.33,19.56,p2p,Fair
wifi,146,0.66,86.42,p2p,Fair
wifi,111,0.18,57.74,server,Good
cellular,50,0.28,139.7,p2p,Good
wifi,43,0.0,228.51,p2p,Excellent
cellular,810,3.06,1.25,server,Poor
cellular,129,2.85,22.96,server,Good
cellular,792,5.43,4.26,p2p,Poor
cellular,43,0.28,88.62,p2p,Good
wifi,70,0.24,82.06,p2p,Good
cellular,108,1.9,10.91,p2p,Poor
cellular,724,8.22,7.47,server,Fair
cellular,671,3.91,6.99,p2p,Poor
cellular,115,1.98,25.13,server,Good
cellular,748,8.57,5.13,p2p,Poor
wifi,95,0.4,33.04,p2p,Fair
cellular,457,7.01,8.65,server,Fair
cellular,768,8.72,7.9,p2p,Poor
wifi,97,0.86,51.27,server,Good
cellular,480,9.97,3.06,server,Poor
wifi,67,0.42,66.31,p2p,Good
wifi,326,2.21,1.61,p2p,Poor
cellular,513,3.27,2.23,server,Poor
cellular,131,2.07,32.49,p2p,Fair
cellular,139,1.67,33.74,server,Good
cellular,47,0.21,166.99,p2p,Good
wifi,81,0.37,93.07,p2p,Good
cellular,121,1.47,18.06,server,Good
wifi,424,1.1,16.94,server,Fair
wifi,51,0.28,67.95,p2p,Good
cellular,564,9.85,7.83,server,Fair
cellular,902,9.65,1.65,server,Poor
wifi,95,0.2,96.27,p2p,Good
wifi,130,0.51,48.8,p2p,Fair
cellular,46,0.24,130.0,p2p,Good
cellular,47,0.21,98.93,server,Good
wifi,394,1.17,2.11,p2p,Poor
wifi,115,0.73,97.07,p2p,Good
cellular,794,7.67,9.38,server,Fair
cellular,155,2.3,46.47,p2p,Fair
cellular,159,2.0,26.52,p2p,Fair
cellular,142,1.21,18.11,server,Good
wifi,491,4.27,15.69,p2p,Poor
wifi,48,0.06,196.3,server,Good
cellular,108,1.1,32.06,p2p,Fair
cellular,802,5.77,1.83,server,Poor
wifi,138,0.76,48.94,p2p,Fair
cellular,107,1.78,39.93,p2p,Fair
cellular,65,0.28,114.34,server,Good
cellular,172,2.77,10.73,server,Good
cellular,181,2.74,16.62,server,Good
wifi,136,0.95,37.77,server,Good
cellular,51,0.26,154.18,p2p,Good
wifi,251,1.16,20.16,p2p,Poor
wifi,2695,1.15,28.11,p2p,Poor
wifi,83,0.78,49.29,p2p,Good
wifi,3700,14.35,19.73,server,Poor
wifi,135,0.61,30.12,server,Good
wifi,95,0.12,42.41,p2p,Good
cellular,51,0.04,135.47,server,Good
cellular,71,0.22,56.46,server,Good
wifi,90,0.61,40.79,p2p,Good
wifi,2387,1.7,23.98,p2p,Poor
cellular,924,9.69,9.42,p2p,Poor
cellular,525,6.21,4.92,server,Poor
wifi,70,0.81,90.3,p2p,Good
cellular,40,0.42,109.44,server,Good
wifi,415,1.16,12.0,server,Fair
cellular,130,1.23,42.21,p2p,Fair
wifi,1025,13.6,14.64,p2p,Poor
cellular,258,8.04,8.07,server,Fair
cellular,750,7.01,2.28,p2p,Poor
wifi,154,3.64,5.82,server,Fair
wifi,90,0.33,66.29,p2p,Good
wifi,378,3.46,12.41,server,Good
wifi,81,0.76,48.06,server,Good
cellular,96,1.69,24.61,server,Good
cellular,40,0.03,148.77,p2p,Excellent
wifi,45,0.06,121.22,server,Good
cellular,65,0.16,144.29,server,Good
wifi,91,0.98,49.29,server,Good
cellular,760,3.45,4.52,server,Poor
wifi,16,0.02,272.29,p2p,Excellent
wifi,26,0.08,164.1,server,Good
cellular,287,3.51,4.32,server,Poor
wifi,51,0.67,38.07,server,Good
cellular,183,2.41,39.08,server,Good
cellular,577,5.75,9.88,server,Fair
cellular,41,0.15,187.97,p2p,Excellent
wifi,146,0.56,41.51,p2p,Fair
cellular,147,2.01,12.36,p2p,Poor
cellular,948,8.31,9.74,server,Fair
cellular,980,9.14,7.43,server,Fair
cellular,132,0.97,23.09,p2p,Fair
wifi,20,0.04,228.05,server,Good
cellular,122,2.01,34.44,server,Good
wifi,35,0.01,270.78,p2p,Excellent
wifi,416,4.34,5.2,server,Fair
cellular,290,8.95,3.86,server,Poor
wifi,56,0.63,57.02,p2p,Good
cellular,55,0.38,143.55,server,Good
wifi,107,0.63,59.44,server,Good
cellular,147,1.64,14.54,server,Good
cellular,633,5.37,7.92,p2p,Poor
wifi,23,0.02,110.58,p2p,Excellent
wifi,484,3.0,4.9,p2p,Poor
wifi,75,0.52,88.2,server,Good
wifi,413,2.6,6.94,p2p,Poor
cellular,154,1.84,22.31,server,Good
wifi,35,0.1,143.94,p2p,Excellent
wifi,1510,12.47,28.74,p2p,Poor
wifi,115,0.5,45.32,p2p,Good
wifi,355,3.87,12.7,p2p,Poor
cellular,106,2.38,19.34,server,Good
wifi,47,0.05,145.44,p2p,Excellent
cellular,905,9.18,6.88,server,Fair
wifi,51,0.3,43.29,p2p,Good
wifi,131,0.91,65.82,p2p,Fair
cellular,274,5.56,2.99,p2p,Poor
wifi,31,0.03,174.97,server,Good
cellular,431,3.14,3.99,server,Poor
cellular,41,0.34,167.01,p2p,Good
wifi,63,0.35,94.24,server,Good
cellular,43,0.02,120.57,server,Good
wifi,374,1.83,3.09,server,Poor
cellular,433,9.82,5.83,p2p,Poor
cellular,269,8.59,4.41,p2p,Poor
wifi,47,0.02,268.1,server,Good
wifi,65,0.79,95.16,server,Good
cellular,579,6.14,1.99,server,Poor
cellular,394,7.71,8.6,server,Fair
cellular,232,8.97,9.08,server,Fair
wifi,72,0.4,68.94,p2p,Good
cellular,470,7.38,3.3,p2p,Poor
cellular,228,5.61,6.24,p2p,Poor
cellular,843,6.1,4.9,p2p,Poor
cellular,57,0.32,159.21,server,Good
wifi,345,1.97,15.08,p2p,Poor
cellular,41,0.04,176.04,p2p,Excellent
wifi,306,3.43,11.68,p2p,Poor
wifi,46,0.01,191.25,server,Good
cellular,212,4.81,9.82,server,Fair
cellular,43,0.28,137.77,server,Good
wifi,92,0.8,33.64,p2p,Fair
wifi,455,1.79,17.93,p2p,Poor
cellular,678,3.01,8.76,p2p,Poor
cellular,199,1.34,42.02,p2p,Fair
cellular,57,0.09,68.42,server,Good
wifi,797,14.68,42.43,server,Poor
wifi,239,4.37,24.9,server,Good
wifi,52,0.43,76.13,server,Good
wifi,72,0.13,86.39,p2p,Good
wifi,18,0.09,164.98,server,Good
cellular,988,5.81,8.0,server,Fair
cellular,820,9.47,7.65,server,Fair
wifi,476,4.64,13.82,server,Fair
cellular,948,5.99,7.7,server,Fair
cellular,51,0.01,122.54,server,Good
wifi,17,0.0,220.87,server,Good
wifi,77,0.13,44.53,p2p,Good
cellular,986,9.17,7.17,server,Fair
cellular,92,2.86,10.93,p2p,Poor
wifi,261,4.45,3.7,server,Poor
cellular,136,2.14,33.26,server,Good
cellular,41,0.39,58.08,p2p,Good
wifi,1613,3.27,28.48,p2p,Poor
cellular,520,8.29,4.38,server,Poor
cellular,96,1.23,33.48,server,Good
cellular,89,2.22,33.93,server,Good
wifi,24,0.02,189.76,p2p,Excellent
wifi,27,0.02,117.44,server,Good
cellular,62,0.03,130.81,p2p,Good
cellular,410,8.59,9.36,server,Fair
cellular,762,4.94,1.78,server,Poor
wifi,255,4.99,7.17,server,Fair
wifi,3206,6.34,6.54,p2p,Poor
wifi,105,0.53,25.26,server,Good
wifi,130,0.64,70.2,p2p,Fair
cellular,480,8.82,6.3,p2p,Poor
wifi,57,0.55,92.95,p2p,Good
wifi,29,0.07,233.82,p2p,Excellent
cellular,54,0.36,64.1,p2p,Good
cellular,167,2.14,17.3,p2p,Fair
wifi,416,1.61,24.35,p2p,Poor
cellular,46,0.24,171.07,p2p,Good
wifi,42,0.05,241.97,server,Good
cellular,109,1.04,38.62,p2p,Fair
cellular,80,1.64,23.97,server,Good
wifi,363,1.11,9.49,p2p,Poor
wifi,61,0.43,44.09,p2p,Good
wifi,22,0.03,181.6,p2p,Excellent
wifi,23,0.04,243.38,p2p,Excellent
cellular,553,8.78,3.82,server,Poor
wifi,48,0.08,253.99,server,Good
cellular,71,0.14,198.48,server,Good
cellular,75,0.47,120.23,p2p,Good
cellular,46,0.32,167.88,server,Good
wifi,81,0.3,46.78,server,Good
wifi,1054,3.27,36.51,server,Poor
wifi,224,4.39,19.52,p2p,Poor
cellular,131,1.14,47.21,p2p,Fair
cellular,667,8.08,6.39,p2p,Poor
wifi,21,0.06,181.42,p2p,Excellent
wifi,308,2.68,6.43,p2p,Poor
cellular,43,0.24,96.47,server,Good
cellular,66,0.09,149.95,server,Good
cellular,89,2.35,32.27,p2p,Fair
wifi,81,0.97,85.04,p2p,Good
cellular,46,0.06,188.36,p2p,Excellent
wifi,250,1.02,16.39,server,Good
wifi,49,0.08,263.16,server,Good
cellular,77,0.48,87.72,server,Good
wifi,143,0.78,51.04,p2p,Fair
wifi,254,5.0,18.77,server,Fair
wifi,25,0.09,152.16,server,Good
wifi,126,0.65,49.05,p2p,Fair
wifi,67,0.41,92.07,server,Good
wifi,3984,5.65,39.5,server,Poor
wifi,53,0.58,56.44,p2p,Good
cellular,64,0.13,187.94,p2p,Good
wifi,71,0.2,93.13,p2p,Good
wifi,295,2.69,16.16,p2p,Poor
wifi,476,1.4,21.28,server,Fair
wifi,421,1.08,18.37,server,Fair
cellular,901,6.85,6.07,p2p,Poor
cellular,50,0.42,193.76,server,Good
wifi,119,0.22,59.93,p2p,Good
wifi,48,0.01,174.18,p2p,Excellent
wifi,249,2.05,18.97,server,Good
wifi,55,0.1,87.09,p2p,Excellent
wifi,1239,14.46,45.11,server,Poor
cellular,103,2.81,14.79,server,Good
wifi,94,0.69,76.42,p2p,Good
wifi,100,0.33,57.42,server,Good
wifi,38,0.08,178.28,p2p,Excellent
cellular,567,7.95,8.38,p2p,Poor
wifi,3173,0.72,49.05,server,Poor
cellular,64,0.48,131.31,server,Good
wifi,77,0.25,39.15,server,Good
cellular,173,2.44,37.23,p2p,Fair
wifi,40,0.01,120.55,p2p,Excellent
cellular,258,3.51,3.17,p2p,Poor
cellular,412,8.26,2.03,p2p,Poor
wifi,436,2.11,3.87,p2p,Poor
cellular,665,3.28,4.93,server,Poor
wifi,403,1.2,22.99,p2p,Poor
cellular,265,8.48,2.91,server,Poor
cellular,416,7.9,3.62,p2p,Poor
wifi,58,0.25,58.45,p2p,Good
cellular,966,4.03,3.23,server,Poor
wifi,84,0.5,88.86,p2p,Good
cellular,471,7.82,2.99,server,Poor
cellular,40,0.03,128.01,p2p,Excellent
cellular,58,0.39,82.58,p2p,Good
cellular,190,0.6,26.1,server,Good
cellular,197,2.92,18.15,server,Good
cellular,833,7.0,9.65,server,Fair
wifi,3034,14.71,11.19,p2p,Poor
cellular,115,2.51,39.67,p2p,Fair
cellular,78,0.15,168.37,p2p,Good
cellular,183,1.54,33.45,p2p,Fair
wifi,329,1.19,10.07,server,Good
cellular,234,4.87,5.35,server,Fair
cellular,70,0.05,103.33,server,Good
cellular,148,0.91,41.76,p2p,Fair
wifi,110,0.44,62.02,server,Good
wifi,405,3.57,15.63,server,Fair
cellular,140,0.82,34.78,p2p,Fair
wifi,334,4.81,14.29,server,Good
cellular,62,0.18,193.24,server,Good
cellular,73,0.46,118.48,p2p,Good
wifi,65,0.31,66.13,server,Good
cellular,689,5.44,9.66,server,Fair
wifi,93,0.24,43.02,p2p,Good
cellular,188,1.59,13.92,server,Good
wifi,127,0.19,96.65,p2p,Fair
wifi,80,0.5,64.69,server,Good
wifi,18,0.04,289.49,p2p,Excellent
cellular,77,0.37,120.95,server,Good
cellular,198,2.3,30.57,p2p,Fair
cellular,181,2.54,16.48,p2p,Fair
cellular,187,1.01,43.15,p2p,Fair
wifi,66,0.78,83.78,server,Good
cellular,90,1.02,28.6,server,Good
cellular,81,0.51,40.38,p2p,Good
wifi,962,2.6,46.44,p2p,Poor
cellular,698,5.54,9.4,server,Fair
wifi,46,0.04,234.31,p2p,Excellent
wifi,18,0.01,220.02,p2p,Excellent
wifi,2717,2.56,35.87,server,Poor
cellular,168,0.51,18.24,server,Good
cellular,165,1.87,23.64,server,Good
wifi,40,0.05,153.36,p2p,Excellent
wifi,337,3.2,4.06,p2p,Poor
cellular,734,7.58,3.82,server,Poor
cellular,46,0.43,194.21,server,Good
wifi,3408,11.27,48.35,server,Poor
wifi,124,0.91,81.01,server,Good
cellular,53,0.05,170.52,server,Good
wifi,483,4.77,5.87,server,Fair
cellular,98,0.59,28.66,server,Good
wifi,113,0.84,71.1,server,Good
wifi,259,2.25,8.6,server,Fair
wifi,192,4.17,14.42,server,Good
wifi,90,0.71,67.61,p2p,Good
cellular,78,0.04,96.83,server,Good
cellular,96,0.71,30.24,server,Good
cellular,86,2.26,14.75,server,Good
cellular,170,2.53,16.57,p2p,Fair
wifi,498,4.12,24.98,server,Fair
cellular,129,2.26,45.84,server,Good
wifi,40,0.04,255.65,server,Good
cellular,137,0.53,12.99,p2p,Poor
cellular,321,3.74,4.11,server,Poor
cellular,560,9.26,1.36,server,Poor
wifi,39,0.1,207.23,p2p,Excellent
wifi,202,4.86,18.46,server,Good
cellular,853,7.58,3.82,p2p,Poor
cellular,429,9.93,2.19,p2p,Poor
wifi,607,14.01,19.18,server,Poor
wifi,21,0.08,138.75,p2p,Excellent
wifi,104,0.21,86.66,p2p,Good
cellular,260,5.83,6.21,p2p,Poor
cellular,192,2.45,37.5,server,Good
cellular,551,3.11,7.45,p2p,Poor
cellular,86,1.44,44.96,p2p,Fair
wifi,69,0.23,75.17,p2p,Good
wifi,91,0.37,69.56,server,Good
wifi,38,0.06,222.63,p2p,Excellent
cellular,263,5.99,3.57,p2p,Poor
cellular,166,1.86,49.65,server,Good
wifi,27,0.09,210.95,server,Good
cellular,134,3.0,27.25,server,Good
wifi,205,4.8,21.72,p2p,Poor
cellular,66,0.33,109.79,p2p,Good
wifi,27,0.01,252.25,p2p,Excellent
wifi,130,0.66,52.26,p2p,Fair
wifi,73,0.99,64.88,server,Good
cellular,41,0.45,134.14,p2p,Good
wifi,346,2.75,15.98,p2p,Poor
wifi,121,0.94,89.69,p2p,Fair
wifi,469,3.27,20.64,server,Fair
wifi,128,0.41,98.22,p2p,Fair
cellular,95,1.08,30.74,server,Good
cellular,55,0.18,105.63,server,Good
wifi,438,2.42,19.51,p2p,Poor
cellular,612,7.41,9.75,server,Fair
wifi,67,0.44,56.31,p2p,Good
cellular,187,0.84,49.58,p2p,Fair
wifi,147,0.98,77.05,p2p,Fair
cellular,978,3.13,4.67,p2p,Poor
cellular,392,5.32,5.81,p2p,Poor
wifi,282,2.82,23.86,server,Good
wifi,219,4.68,10.77,server,Good
wifi,2502,11.97,11.16,server,Poor
wifi,2174,0.94,32.97,server,Poor
wifi,493,2.73,16.29,server,Fair
wifi,99,0.78,83.38,p2p,Good
wifi,52,0.6,66.34,p2p,Good
wifi,43,0.08,261.17,p2p,Excellent
cellular,849,5.56,2.44,p2p,Poor
wifi,1361,0.68,10.52,server,Poor
wifi,72,0.94,73.38,server,Good
wifi,350,2.04,20.45,p2p,Poor
wifi,139,0.68,59.79,server,Good
cellular,113,2.99,44.92,p2p,Fair
wifi,190,3.03,14.37,p2p,Poor
cellular,146,1.91,42.65,p2p,Fair
wifi,55,0.65,70.99,p2p,Good
wifi,157,4.89,12.47,server,Good
wifi,2860,1.41,47.87,server,Poor
cellular,870,3.31,5.35,p2p,Poor
wifi,16,0.08,241.83,server,Good
cellular,882,5.5,8.87,p2p,Poor
wifi,3263,14.32,21.03,p2p,Poor
wifi,73,0.56,84.49,p2p,Good
cellular,176,1.95,22.19,p2p,Fair
cellular,114,1.4,10.82,server,Good
cellular,73,0.17,186.92,p2p,Good
cellular,54,0.1,144.01,p2p,Excellent
cellular,182,2.84,40.4,server,Good
wifi,119,0.36,99.6,p2p,Good
cellular,232,8.04,8.41,p2p,Poor
wifi,3508,14.28,45.37,p2p,Poor
wifi,2323,8.12,37.42,server,Poor
cellular,79,0.04,126.81,p2p,Good
wifi,147,0.51,27.2,server,Good
cellular,73,0.19,135.95,p2p,Good
wifi,410,3.06,20.2,p2p,Poor
wifi,38,0.05,163.13,p2p,Excellent
wifi,88,0.89,36.38,p2p,Fair
cellular,197,2.05,33.4,p2p,Fair
cellular,88,2.45,45.13,server,Good
wifi,24,0.09,162.58,p2p,Excellent
wifi,174,1.61,5.87,p2p,Poor
wifi,16,0.04,271.0,server,Good
wifi,148,0.13,80.61,server,Good
cellular,44,0.45,89.18,server,Good
wifi,156,2.93,16.32,server,Good
cellular,161,2.39,11.24,p2p,Poor
wifi,94,0.17,77.38,server,Good
cellular,476,3.34,8.65,server,Fair
cellular,150,1.54,22.99,server,Good
wifi,803,7.2,42.12,server,Fair
wifi,211,4.71,22.68,server,Good
wifi,47,0.08,102.95,server,Good
wifi,49,0.08,234.1,p2p,Excellent
cellular,105,0.59,41.36,server,Good
wifi,19,0.0,143.25,p2p,Excellent
wifi,115,0.78,90.85,server,Good
wifi,144,0.62,61.0,server,Good
wifi,105,0.32,53.68,server,Good
wifi,91,0.45,50.24,p2p,Good
wifi,2451,11.35,47.78,p2p,Poor
wifi,130,0.78,37.92,p2p,Fair
wifi,120,0.11,66.72,server,Good
cellular,47,0.16,159.09,server,Good
wifi,418,1.85,9.18,p2p,Poor
wifi,129,0.15,45.26,server,Good
wifi,45,0.03,270.73,server,Good
cellular,41,0.32,139.84,p2p,Good
cellular,920,8.33,3.8,server,Poor
wifi,363,4.55,2.13,server,Poor
cellular,159,2.64,27.55,server,Good
cellular,40,0.22,64.54,server,Good
wifi,1782,4.23,40.35,p2p,Poor
wifi,203,1.89,20.44,server,Good
wifi,1113,4.74,9.71,p2p,Poor
wifi,461,2.07,14.54,server,Fair
cellular,126,2.69,17.98,server,Good
cellular,178,1.15,28.32,p2p,Fair
wifi,59,0.89,76.31,server,Good
wifi,74,0.47,45.08,p2p,Good
cellular,677,6.74,3.63,server,Poor
cellular,500,7.95,3.32,server,Poor
wifi,2795,8.29,29.26,p2p,Poor
wifi,2844,11.07,46.25,server,Poor
cellular,301,5.25,2.96,p2p,Poor
cellular,510,5.01,1.54,p2p,Poor
cellular,100,2.35,25.28,server,Good
cellular,587,6.19,9.69,server,Fair
wifi,104,0.93,26.22,server,Good
wifi,17,0.1,203.58,server,Good
cellular,912,3.62,7.37,server,Fair
cellular,996,6.63,1.75,server,Poor
wifi,223,3.74,18.93,p2p,Fair
wifi,44,0.09,129.64,p2p,Excellent
cellular,487,3.41,4.82,p2p,Poor
wifi,70,0.47,90.92,p2p,Good
cellular,113,2.17,26.02,p2p,Fair
cellular,66,0.09,77.92,server,Good
wifi,100,0.74,44.17,server,Good
wifi,132,0.46,50.57,p2p,Fair
wifi,59,0.92,67.31,server,Good
cellular,62,0.34,124.19,p2p,Good
cellular,175,2.0,20.87,server,Good
wifi,96,0.52,95.18,server,Good
cellular,948,8.34,1.55,p2p,Poor
cellular,52,0.43,169.09,p2p,Good
cellular,109,0.83,38.73,server,Good
cellular,113,1.29,19.59,p2p,Fair
cellular,43,0.39,178.41,server,Good
cellular,134,1.27,47.05,p2p,Fair
wifi,32,0.03,262.66,p2p,Excellent
cellular,156,0.85,47.82,p2p,Fair
wifi,41,0.03,278.0,p2p,Excellent
cellular,314,6.55,1.99,server,Poor
wifi,239,3.1,21.1,server,Good
wifi,326,4.7,3.48,p2p,Poor
wifi,131,0.88,91.0,server,Good
wifi,19,0.05,244.69,server,Good
cellular,124,0.57,25.37,p2p,Fair
wifi,81,0.61,28.42,p2p,Fair
cellular,953,6.13,7.35,p2p,Poor
cellular,67,0.42,119.62,p2p,Good
wifi,410,3.94,11.98,server,Fair
wifi,197,3.59,18.8,server,Good
wifi,322,2.6,17.31,p2p,Poor
wifi,16,0.07,296.04,p2p,Excellent
cellular,51,0.36,91.13,p2p,Good
cellular,123,0.96,16.4,p2p,Fair
wifi,79,0.64,92.58,server,Good
wifi,36,0.07,263.2,server,Good
wifi,49,0.05,134.64,server,Good
cellular,74,0.1,87.01,p2p,Good
cellular,133,0.93,36.63,p2p,Fair
wifi,91,0.23,87.86,p2p,Good
wifi,211,1.42,23.62,server,Good
wifi,349,4.81,24.52,p2p,Poor
wifi,22,0.03,163.19,server,Good
cellular,46,0.07,151.79,server,Good
cellular,136,0.6,32.43,server,Good
wifi,34,0.09,269.15,server,Good
cellular,120,0.99,46.0,p2p,Fair
